CUMUN,CPRO,NPRO,NMUN,AREA_GEO,ID_AREA_GEO,POB_AREA_GEO,COD_LITERAL_SCD,ID_GRUPO,POB_GRUPO,ID_COMPLETO_GRUPO,,
02028,02,Albacete,Cotillas,MUNICIPIO,02028,123,,12AB,5005,02028Cotillas,,
02049,02,Albacete,Molinicos,MUNICIPIO,02049,852,,12AB,5005,02049Molinicos,,
02058,02,Albacete,Paterna del Madera,MUNICIPIO,02058,348,,12AB,5005,02058Paterna del Madera,,
02067,02,Albacete,Riópar,MUNICIPIO,02067,1332,,12AB,5005,02067Riópar,,
02070,02,Albacete,Salobre,MUNICIPIO,02070,480,,12AB,5005,02070Salobre,,
02076,02,Albacete,Vianos,MUNICIPIO,02076,346,,12AB,5005,02076Vianos,,
02080,02,Albacete,Villapalacios,MUNICIPIO,02080,583,,12AB,5005,02080Villapalacios,,
02084,02,Albacete,Villaverde de Guadalimar,MUNICIPIO,02084,338,,12AB,5005,02084Villaverde de Guadalimar,,
02030,02,Albacete,Elche de la Sierra,MUNICIPIO,02030,3585,,13AB,7190,02030Elche de la Sierra,,
02031,02,Albacete,Férez,MUNICIPIO,02031,643,,13AB,7190,02031Férez,,
02044,02,Albacete,Liétor,MUNICIPIO,02044,1175,,13AB,7190,02044Liétor,,
02072,02,Albacete,Socovos,MUNICIPIO,02072,1787,,13AB,7190,02072Socovos,,
02006,02,Albacete,Alcadozo,MUNICIPIO,02006,654,,14AB,5361,02006Alcadozo,,
02060,02,Albacete,Peñas de San Pedro,MUNICIPIO,02060,1399,,14AB,5361,02060Peñas de San Pedro,,
02063,02,Albacete,Pozohondo,MUNICIPIO,02063,1585,,14AB,5361,02063Pozohondo,,
02065,02,Albacete,Pozuelo,MUNICIPIO,02065,481,,14AB,5361,02065Pozuelo,,
02071,02,Albacete,San Pedro,MUNICIPIO,02071,1242,,14AB,5361,02071San Pedro,,
02008,02,Albacete,Alcaraz,MUNICIPIO,02008,1351,,15AB,5155,02008Alcaraz,,
02011,02,Albacete,Ayna,MUNICIPIO,02011,616,,15AB,5155,02011Ayna,,
